,CE_Symbol / PE_Symbol ,CE_entry_time / PE_entry_time,CE_entry_price,PE_entry_price,PE_exit_time,PE_exit_price,CE_exit_time,CE_exit_price,PnL,PnL Cumulative Sum,Equity,Rate Of Return,Drawdown,Month-Year
0,BANKNIFTY2030528800CE / BANKNIFTY2030528800PE,2020-03-05 09:20:00,150.0,150.0,2020-03-05 09:24:00,180.0,2020-03-05 10:46:00,150.0,-750.0,28160.0,428160.0,-0.1875,-3000.0,2020-03-05 09:20:00
0,BANKNIFTY2031227400CE / BANKNIFTY2031227400PE,2020-03-06 09:28:00,704.4,447.7,2020-03-06 09:29:00,447.7,2020-03-06 09:29:00,734.4,-750.0000000000014,27410.0,427410.0,-0.18750000000000033,-3750.0,2020-03-06 09:28:00
0,BANKNIFTY2031227000CE / BANKNIFTY2031227000PE,2020-03-09 09:20:00,482.9,429.35,2020-03-09 09:27:00,459.35,2020-03-09 15:15:00,248.2,5117.499999999998,32527.5,432527.5,1.2793749999999997,0.0,2020-03-09 09:20:00
0,BANKNIFTY2031226600CE / BANKNIFTY2031226600PE,2020-03-11 09:20:00,434.5,394.15,2020-03-11 09:33:00,394.15,2020-03-11 09:22:00,464.5,-750.0,31777.5,431777.5,-0.1875,-750.0,2020-03-11 09:20:00
0,BANKNIFTY2031225200CE / BANKNIFTY2031225200PE,2020-03-12 09:26:00,239.1,328.7,2020-03-12 10:05:00,328.7,2020-03-12 09:32:00,269.1,-750.0000000000014,31027.5,431027.5,-0.18750000000000033,-1500.0,2020-03-12 09:26:00
0,BANKNIFTY2031922000CE / BANKNIFTY2031922000PE,2020-03-13 09:20:00,1000.05,1545.15,2020-03-13 09:21:00,1575.15,2020-03-13 10:21:00,1000.05,-750.0000000000057,30277.499999999993,430277.5,-0.18750000000000142,-2250.0000000000073,2020-03-13 09:20:00
0,BANKNIFTY2031923900CE / BANKNIFTY2031923900PE,2020-03-16 09:20:00,893.6,960.1,2020-03-16 09:21:00,990.1,2020-03-16 10:53:00,893.6,-750.0,29527.499999999993,429527.5,-0.1875,-3000.0000000000073,2020-03-16 09:20:00
0,BANKNIFTY2031922600CE / BANKNIFTY2031922600PE,2020-03-17 09:20:00,1119.35,981.7,2020-03-17 09:21:00,1011.7,2020-03-17 09:31:00,1119.35,-749.9999999999943,28777.5,428777.5,-0.18749999999999858,-3750.0,2020-03-17 09:20:00
0,BANKNIFTY2031922200CE / BANKNIFTY2031922200PE,2020-03-18 09:20:00,581.0,673.75,2020-03-18 09:21:00,703.75,2020-03-18 15:15:00,49.2,12544.999999999998,41322.5,441322.5,3.1362499999999995,0.0,2020-03-18 09:20:00
0,BANKNIFTY2031919100CE / BANKNIFTY2031919100PE,2020-03-19 09:21:00,486.55,324.95,2020-03-19 09:28:00,324.95,2020-03-19 09:28:00,516.55,-749.9999999999986,40572.5,440572.5,-0.18749999999999967,-750.0,2020-03-19 09:21:00
